gene	Cardiomyocyte	Chondrocyte	Choroid plexus	Dorsal midbrain neuron	Endothelial cell	Epithelial cell	Erythrocyte	Facial fibroblast	Fibroblast	Forebrain neuron	Forebrain radial glia cell	Ganglion	Hepatocyte	Immune cell	Keratinocyte	Limb fibroblast	Macrophage	Meninges cell	Mid-/hindbrain and spinal cord neuron	Myoblast	Olfactory epithelial cell	Radial glia cell	Smooth muscle cell	Spinal cord neuron	Thalamus neuron
Col5a2	0.000734566	0.00505969	0.000260837	0.000402966	0.00232803	0.00234707	0.000808773	0.00372938	0.00571795	0.00040222	0.000718935	0.000667201	0.000226125	0.00141038	0.00161803	0.00383704	0.00360929	0.00289148	0.000292498	0.0018662	0.000466463	0.000587761	0.00255821	0.000362346	0.000265713
Col6a4	2.78168e-06	2.6152e-05	0	7.21749e-06	9.19275e-05	0.000232661	2.58688e-05	5.41877e-05	2.14002e-05	9.95686e-06	1.57699e-05	2.22757e-05	4.13169e-06	3.50467e-05	9.01241e-06	1.89418e-05	4.37087e-05	1.986e-05	1.59157e-05	9.34468e-06	9.66388e-06	1.54273e-05	0.000190403	8.72123e-06	6.36722e-06
Col8a1	7.34507e-05	0.000963365	0.000721346	7.8397e-05	0.000268337	0.000246699	8.27173e-05	0.000300086	0.000660025	3.59068e-05	7.17735e-05	0.000134206	1.93986e-05	0.000147413	0.000470127	0.000707189	0.000537152	0.00256919	6.44079e-05	0.000109517	0.000133578	8.60064e-05	0.000307446	3.72659e-05	4.67188e-05
Col9a1	4.29703e-05	0.00499978	4.20378e-05	9.62372e-05	0.000100089	0.000109375	3.98423e-05	7.79385e-05	0.000171817	8.71704e-05	9.15749e-05	0.000132275	4.42464e-05	6.71389e-05	0.000143923	0.000191589	0.000239827	0.000173084	8.72362e-05	8.86217e-05	9.04197e-05	0.000101525	0.000146531	7.7008e-05	9.59963e-05
Colec11	4.2295e-05	6.85849e-06	2.46399e-06	3.56164e-06	1.38495e-05	1.24078e-05	1.18299e-05	5.90452e-06	9.04187e-06	3.08323e-06	3.92397e-06	1.16811e-05	2.22203e-05	2.5272e-05	6.18576e-06	3.58125e-06	1.78533e-05	3.11726e-05	2.73445e-06	5.01133e-06	3.13378e-06	2.50935e-06	2.27454e-05	1.17669e-05	0
Colq	5.86652e-05	8.88697e-06	7.7641e-06	3.6623e-06	1.12617e-05	2.12985e-05	4.40124e-06	5.93622e-06	1.34045e-05	4.00305e-06	8.07189e-06	8.87359e-06	3.69709e-06	7.57294e-06	7.73464e-06	2.16971e-05	9.55122e-06	9.99059e-06	5.37223e-06	0.000258426	1.45636e-05	6.22438e-06	1.54018e-05	1.63871e-06	7.75596e-06
Corin	0.000224399	2.99509e-05	1.32061e-05	1.32468e-06	2.52567e-05	3.94813e-05	1.20892e-05	0.000145046	5.54089e-05	1.18499e-05	9.64283e-06	1.53287e-05	5.72805e-06	1.35159e-05	9.70262e-06	6.9027e-05	4.28595e-05	2.01529e-05	5.8898e-06	0.000101826	2.31687e-05	1.7368e-05	2.85614e-05	4.42067e-06	5.99134e-06
Cox6a2	0.00341272	0.000232337	6.12994e-05	0.000145665	0.000199988	0.000279649	0.000138746	0.000177554	0.000296177	0.000124945	0.000177235	0.000180019	9.98447e-05	0.000172002	0.000214058	0.000147608	0.000363212	0.000196222	0.000109648	0.00230682	0.000186755	0.000164403	0.000211775	0.000122974	0.000114384
Cpa1	2.39386e-05	3.17593e-05	3.4322e-06	7.92882e-06	1.62272e-05	0.000143285	1.69282e-05	8.35853e-06	1.98621e-05	2.18397e-06	1.41384e-05	1.03667e-05	6.0623e-06	4.14912e-05	1.63435e-05	5.46982e-06	3.88662e-05	2.33603e-05	8.29874e-06	1.28808e-05	8.02123e-06	1.02611e-05	2.05356e-05	4.89166e-06	8.31024e-06
Cpa2	1.06625e-05	4.21258e-05	1.20354e-05	4.28162e-05	4.14011e-05	8.93657e-05	1.37973e-05	2.55005e-05	4.72172e-05	3.12041e-05	2.00243e-05	4.66287e-05	7.2392e-06	2.78091e-05	2.46841e-05	3.54013e-05	4.06117e-05	2.32388e-05	4.79917e-05	3.92737e-05	1.84708e-05	4.07551e-05	3.85862e-05	2.32138e-05	6.51647e-05
